CARNAME,ID,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Previous owners,Engine capacity(ccm),Tags
volkswagen t6-california,61187362,Volkswagen,T6 California,Grey,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,Diesel,Automatic,4x2,110,179,Euro 6d,100,01/09/2023,New,6.9,66949,0,1968,LED headlights; Adaptive cruise control; Heated front seats; Integrated music streaming; Bluetooth; High beam assist; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel
fiat 500,61187361,Fiat,500,Grey,Black interior,Cloth interior,Hatchback,2/3 doors,4,Petrol,Manual,4x2,51,88,Euro 6,6000,01/09/2021,Demonstration car,4.7,15299,2,999,Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows; Central locking with remote
toyota land-cruiser,61187371,Toyota,Land Cruiser,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,150,206,Euro 6d,50,01/09/2023,New,7.6,80299,0,2755,LED headlights; Keyless entry; Electric adjustable front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth
skoda enyaq,61187364,Skoda,Enyaq,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x4,220,0,Euro 6,10,01/09/2023,New,5.534431978,58449,0,1499,Driver's seat with massage function; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay
toyota land-cruiser,61187371,Toyota,Land Cruiser,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,150,206,Euro 6d,50,01/09/2023,New,7.6,80299,0,2755,LED headlights; Keyless entry; Electric adjustable front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth
fiat 500,61187361,Fiat,500,Grey,Black interior,Cloth interior,Hatchback,2/3 doors,4,Petrol,Manual,4x2,51,88,Euro 6,6000,01/09/2021,Demonstration car,4.7,15299,2,999,Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows; Central locking with remote
toyota land-cruiser,61187347,Toyota,Land Cruiser,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,150,206,No emission class,22689,01/08/2022,Used,7.6,76399,1,2755,Ventilated front seats; Heated rear seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming
opel astra,61187356,Opel,Astra,Black,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,90,109,Euro 6d,49978,01/01/2021,Used,4.2,20049,1,1496,Parking assist system self-steering; LED headlights; Electric adjustable front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Voice control; Navigation system; Sport front seats; Traffic sign recognition
bmw 218-active-tourer,61187311,BMW,218 Active Tourer,Grey,Grey interior,Cloth interior,MPV,4/5 doors,5,Petrol,Automatic,4x2,103,132,No emission class,82298,01/01/2021,Used,5.8,23599,1,1499,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Voice control
volkswagen tiguan,61187324,Volkswagen,Tiguan,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,130,Euro 6d,9850,01/01/2021,Used,5.7,32699,1,1498,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Heated steering wheel; Paddle shifters; Bluetooth
volkswagen touran,61187331,Volkswagen,Touran,Grey,Grey interior,Alcantara interior,MPV,4/5 doors,7,Petrol,Automatic,4x2,110,146,Euro 6d,19,01/09/2023,New,6.5,42649,0,1498,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition
bmw 318,61187316,BMW,318,Black,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,110,0,Euro 6d,100000,01/07/2019,Used,5.2,24649,1,1995,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition
peugeot 3008,61187309,Peugeot,3008,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,96,106,Euro 6,38922,01/11/2018,Used,4,25249,1,1499,Heated front seats; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor; Hill-start assist; Daytime running lights
renault kadjar,61187307,Renault,Kadjar,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,96,123,Euro 6,63000,01/08/2017,Used,5.5,17949,2,1197,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Bose audio; Heated front seats; Keyless ignition; Panoramic roof; Voice control
citroen c4,61187289,Citroen,C4,White,Other interior color,Other interior material,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,96,100,Euro 6d-TEMP,45000,01/08/2021,Demonstration car,3.8,26799,2,1499,LED headlights; Keyless entry; Heated front seats; Head-up display; Keyless ignition; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C
toyota yaris,61187286,Toyota,Yaris,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,55,75,Euro 6,42750,01/09/2017,Used,3.3,16749,3,1497,Keyless entry; Keyless ignition; Panoramic roof; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist; Rain sensor; Light sensor; Lane assist
volkswagen t6-multivan,61187290,Volkswagen,T6 Multivan,Grey,Black interior,Full leather interior,MPV/VAN,4/5 doors,7,Diesel,Automatic,4x4,150,183,Euro 6d,5,01/02/2023,New,6.9,103949,0,1968,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system
renault megane,61187292,Renault,Megane,Grey,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x2,160,0,No emission class,29540,01/12/2022,Used,5.534431978,38699,1,1499,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Keyless ignition; Navigation system; Heated steering wheel; Paddle shifters; Traffic sign recognition; Automatic 2-zones air conditioning
volkswagen polo,61187249,Volkswagen,Polo,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,85,108,Euro 6d-TEMP,65500,01/09/2020,Used,4.7,18349,1,999,Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Sport front seats; Bluetooth; Automatic 2-zones air conditioning
skoda octavia,61187250,Skoda,Octavia,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,100,Euro 6d,1000,01/07/2023,Demonstration car,4.5,37349,1,1968,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Bang & Olufsen audio; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition
audi a6-allroad,61187263,Audi,A6 Allroad,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,200,149,Euro 6,99987,01/07/2015,Used,5.6,31349,2,2967,Ventilated front seats; Air suspension; Parking assist system self-steering; LED headlights; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Integrated music streaming
bmw x7,61187246,BMW,X7,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,Petrol,Automatic,4x4,390,280,Euro 6d,50000,01/08/2021,Used,12.3,77449,1,4395,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay
bmw m3,61187261,BMW,M3,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,405,248,Euro 6d,4013,01/06/2023,Used,10,169049,1,2993,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay; Integrated music streaming; Keyless ignition
bmw x7,61187246,BMW,X7,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,Petrol,Automatic,4x4,390,280,Euro 6d,50000,01/08/2021,Used,12.3,77449,1,4395,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay
volkswagen t-roc,61187228,Volkswagen,T-Roc,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,123,Euro 6d,10900,01/03/2023,Used,6.2,31699,1,1498,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Navigation system
renault clio,61187223,Renault,Clio,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,63,95,Euro 6,42321,01/03/2021,Used,3.6,15799,1,1461,LED headlights; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth; Light sensor
opel mokka,61187205,Opel,Mokka,Blue,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,96,102,Euro 6d,5550,01/04/2022,Used,4.5,29849,1,1199,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist; Rain sensor
volkswagen polo,61187206,Volkswagen,Polo,Grey,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,70,106,Euro 6,1001,01/09/2023,Used,5.2,22549,1,999,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Bluetooth; Light sensor; Lane assist; Hill-start assist; Front collision warning system
audi s6,61187197,Audi,S6,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,253,170,Euro 6,69900,01/04/2022,Demonstration car,6.4,75399,2,2967,Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Panoramic roof
bmw 440,61187188,BMW,440,White,Brown interior,Full leather interior,Cabriolet,2/3 doors,4,Petrol,Automatic,4x4,240,0,Euro 6c,23930,01/03/2020,Used,10.4,49099,0,2998,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay; Integrated music streaming; Keyless ignition
jaguar f-type,61187191,Jaguar,F-Type,Grey,Black interior,Full leather interior,Cabriolet,2/3 doors,2,Petrol,Automatic,4x4,423,252,Euro 6d,2054,01/03/2023,Used,11,99649,1,5000,Ventilated front seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Meridian audio; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot
bmw 530,61187189,BMW,530,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,185,0,No emission class,8215,01/06/2022,Used,5.5,47949,1,1998,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; WLAN/Wifi hotspot
volkswagen golf-sportsvan,61187180,Volkswagen,Golf Sportsvan,White,Black interior,Cloth interior,MPV,4/5 doors,5,Petrol,Automatic,4x2,110,121,Euro 6d,49980,01/03/2020,Used,5.3,23599,1,1498,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Navigation system; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning; Light sensor
mercedes-benz v-300,61187171,Mercedes-Benz,V 300,Grey,Black interior,Full leather interior,MPV/VAN,4/5 doors,6,Diesel,Automatic,4x4,174,172,Euro 6d,20800,01/07/2022,Used,6.5,79149,1,1950,Driver's seat with massage function; Ventilated front seats; Heated rear seats; LED headlights; Heated front seats; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof; Navigation system; Glare-free high beam headlights
dacia jogger,61187164,Dacia,Jogger,Grey,Other interior color,Alcantara interior,MPV,4/5 doors,5,Petrol,Manual,4x2,81,128,Euro 6,10,01/09/2023,New,5.6,24499,0,999,Heated front seats; Navigation system; Alcantara interior; Rain sensor; Light sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; Automatic parking brake
renault clio,61187140,Renault,Clio,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,63,95,Euro 6,49047,01/02/2021,Used,3.6,15599,1,1461,LED headlights; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth; Light sensor
mercedes-benz v-300,61187145,Mercedes-Benz,V 300,Black,Black interior,Full leather interior,MPV/VAN,4/5 doors,6,Diesel,Automatic,4x4,174,172,Euro 6d,8500,01/06/2022,Used,6.5,81649,1,1950,Driver's seat with massage function; Ventilated front seats; Heated rear seats; LED headlights; Heated front seats; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof; Navigation system; Glare-free high beam headlights
bmw 118,61187137,BMW,118,Black,Black interior,Part leather interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,100,151,Euro 6d,14300,01/11/2022,Used,6.6,30799,1,1499,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; El. tailgate
volkswagen golf,61187134,Volkswagen,Golf,White,Black interior,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,81,114,Euro 6d,86998,01/08/2016,Used,4.9,14499,1,1197,Heated front seats; Voice control; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment
audi a1,61187126,Audi,A1,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,81,112,Euro 6d,2500,01/09/2023,Used,4.9,29949,0,999,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Paddle shifters
seat arona,61187118,Seat,Arona,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110,118,Euro 6d-TEMP,84285,01/06/2020,Used,5.1,19349,1,1498,Parking assist system self-steering; Digital cockpit; Apple CarPlay; Android auto; Voice control; Navigation system; Sport front seats; Bluetooth; Automatic 2-zones air conditioning; Induction charging for smartphones
ford grand-c-max,61187107,Ford,Grand C-Max,White,Grey interior,Cloth interior,MPV,4/5 doors,7,Petrol,Manual,4x2,92,134,Euro 6d-TEMP,100000,01/07/2018,Used,5.9,14299,1,999,Parking assist system self-steering; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system; Heated steering wheel
ford transit,61187102,Ford,Transit,White,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,Diesel,Manual,4x2,96,167,Euro 6d-TEMP,63545,01/03/2019,Used,7.9,34349,1,1955,Bluetooth; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; Start-stop system; AUX
ford puma,61187064,Ford,Puma,Blue,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,92,113,No emission class,0,01/09/2023,New,6.1,33899,0,999,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Bang & Olufsen audio; Heated front seats; Apple CarPlay; Android auto; Keyless ignition
