,Power,Hybrid type,Range extender,Transmission,Doors,Model,Condition,Battery warranty (km),Mileage,Valid MOT until,Battery capacity,CO2 emissions,El. motor power,First registration,Energy efficiency,Battery type,Country of origin,DC charging time,Emission class,Fuel,Drive type,AC charging time,Secondary drive,Body,Make,Interior color,Engine power,CARNAME,Currency,Weight,Engine capacity,VIN,ID,Tags,Type of finish,Price,Consumption,Full service history,Interior material,Body color,Previous owners,Seats,Warranty until,Electric range
1129,140 kW,,,Automatic,4/5 doors,520,,,158 404 km,10/2025,,119 g/km,,9/2020,,,,,Euro 6d,Diesel,4x2,,,Station Wagon,BMW,Black interior,,bmw 520,EUR,,1 995 ccm,not published by the seller,61185383,Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Head-up display; Apple CarPlay; WLAN/Wifi hotspot; Keyless ignition,,28899,4.5 l/100km (combined); 5.1 l/100km (city); 4.2 l/100km ,,Full leather interior,Black,1,5,,
1130,96 kW,,,Manual,4/5 doors,Megane,Used,,85 990 km,,,119 g/km,,5/2018,,,,,Euro 6,Petrol,4x2,,,Station Wagon,Renault,Other interior color,,renault megane,EUR,1268,1 198 ccm,not published by the seller,61185363,Keyless entry; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor,Metallic,14899,5.3 l/100km (combined); 5.3 l/100km (city); 5.3 l/100km ,,Cloth interior,Grey,,5,,
1131,419 kW,,,Automatic,2/3 doors,458 Spider,,,25 800 km,,,0 g/km,,1/2012,,,,,No emission class,Petrol,4x2,,,Cabriolet,Ferrari,Black interior,,ferrari 458-spider,EUR,,4 499 ccm,not published by the seller,61185370,Navigation system; Paddle shifters; Sport front seats; Xenon headlights; Sport-suspension system; Leather; Automatic A/C; Light sensor; Multifunctional steering wheel; Daytime running lights,,255099,,,Full leather interior,Red,2,,,
1132,88 kW,,,Manual,4/5 doors,Puma,Used,,92 371 km,,,119 g/km,,5/2021,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Ford,,,ford puma,EUR,,1 500 ccm,not published by the seller,61185360,Adaptive cruise control; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Blind spot assist,,16749,4.5 l/100km (combined),,,White,,5,,
1133,132 kW,Plug-in hybrid,No,Automatic,4/5 doors,Tucson,New,,5 km,,,129 g/km,,9/2023,,,,,Euro 6d,Petrol,4x4,,,SUV / offroad,Hyundai,Other interior color,,hyundai tucson,EUR,1690,1 598 ccm,not published by the seller,61185358,Ventilated front seats; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control,,47699,5.6 l/100km (combined); 6 l/100km (city); 6 l/100km ,,Full leather interior,White,,5,,
1134,190 kW,,,Automatic,4/5 doors,E 300,,,47 309 km,03/2024,,147 g/km,,3/2020,,,,,Euro 6,Petrol,4x2,,,Sedans / saloons,Mercedes-Benz,Brown interior,,mercedes-benz e-300,EUR,,1 991 ccm,not published by the seller,61185368,Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Burmester audio; Heated front seats; Head-up display,Metallic,51249,6.4 l/100km (combined); 8.1 l/100km (city); 5.1 l/100km ,,Full leather interior,Black,3,5,,
1135,150 kW,Mild hybrid,No,Automatic,2/3 doors,A5,,,10 213 km,03/2026,,143 g/km,,3/2023,,,,,Euro 6d,Petrol,4x2,,,Cabriolet,Audi,Black interior,,audi a5,EUR,,1 984 ccm,not published by the seller,61185359,Driver's seat with massage function; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,Metallic,45799,6.3 l/100km (combined),,Full leather interior,Black,1,4,,
1136,100 kW,,No,Automatic,4/5 doors,Corsa,Used,160000 km,42 135 km,,50 kWh,0 g/km,100 kW,10/2021,,Lithium-ion (Li-ion),,30 min,Euro 6,Electric,4x2,,,Hatchback,Opel,Grey interior,,opel corsa,EUR,,,not published by the seller,61185357,Automatic A/C; Front electric windows,,20549,,,,White,,5,12/2024,337 km
1137,90 kW,Full hybrid,No,Automatic,4/5 doors,C-HR,Used,,51 220 km,,1 kWh,86 g/km,53 kW,1/2019,,Nickel-metal hydride (NiMH),,,Euro 6d-TEMP,Hybrid,4x2,,,SUV / offroad,Toyota,Black interior,72 kW,toyota c-hr,EUR,1455,1 798 ccm,not published by the seller,61185361,Adaptive cruise control; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor; Side mirrors with electic adjustment; USB; Alloy wheels,Metallic,21599,3.8 l/100km (combined); 3.8 l/100km (city); 3.8 l/100km ,,Cloth interior,Grey,,5,,
1138,54 kW,,,Manual,4/5 doors,Clio,,,105 000 km,12/2025,,127 g/km,,10/2014,,,,,Euro 5,Petrol,4x2,,,Hatchback,Renault,Black interior,,renault clio,EUR,,1 149 ccm,not published by the seller,61185365,Navigation system; Side mirrors with electic adjustment; Daytime running lights; Front electric windows,Metallic,7799,5.6 l/100km (combined); 7 l/100km (city); 4.7 l/100km ,,Cloth interior,Red,,5,,
1139,96 kW,,,Manual,4/5 doors,Duster,New,,10 km,,,141 g/km,,9/2023,,,,,Euro 6d,Petrol,4x2,,,SUV / offroad,Dacia,Black interior,,dacia duster,EUR,,1 332 ccm,not published by the seller,61185366,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Bluetooth; Automatic A/C; Rain sensor,Metallic,25049,6.2 l/100km (combined); 7.3 l/100km (city); 5.3 l/100km ,,Cloth interior,Green,,5,,
1140,51 kW,,,Manual,2/3 doors,500,Used,,36 116 km,,,88 g/km,,6/2022,,,Italy,,Euro 6,Petrol,4x2,,,Hatchback,Fiat,Other interior color,,fiat 500,EUR,980,999 ccm,not published by the seller,61185367,Apple CarPlay; Panoramic roof; Paddle shifters; Side mirrors with electic adjustment; Daytime running lights; Start-stop system; Front electric windows; Alloy wheels,,15599,4.7 l/100km (combined),,Other interior material,Grey,,4,,
1141,143 kW,,,Manual,2/3 doors,John Cooper Works,Used,,13 783 km,,,133 g/km,,6/2020,,,,,No emission class,Petrol,4x2,,,Hatchback,MINI,Other interior color,,mini john-cooper-works,EUR,,1 998 ccm,not published by the seller,61185369,LED headlights; Adaptive cruise control; Apple CarPlay; Paddle shifters; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Side mirrors with electic adjustment; Alloy wheels,,31399,5.7 l/100km (combined),,Other interior material,,,5,,
1142,95 kW,,,Manual,4/5 doors,XC40,Used,,94 250 km,,,142 g/km,,4/2021,,,,,Euro 6d,Petrol,4x2,,,SUV / offroad,Volvo,Black interior,,volvo xc40,EUR,,1 477 ccm,not published by the seller,61185362,LED headlights; Digital cockpit; Keyless entry; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Traffic sign recognition,Metallic,24149,6.3 l/100km (combined),,Cloth interior,White,,5,,
1143,104 kW,,No,Automatic,4/5 doors,Niro,Used,150000 km,69 800 km,,9 kWh,101 g/km,,1/2017,,Lithium polymer (Li-pol),,,,Hybrid,4x2,2 h,,SUV / offroad,Kia,,,kia niro,EUR,,1 580 ccm,KNACB81CGJ5105495,61185364,Automatic A/C; Lane assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Electrically heated side mirrors; Leather steering wheel; USB; Front electric windows; Rear electric windows,,19149,4.4 l/100km (combined),,,White,,5,,
1144,185 kW,,,Automatic,4/5 doors,330,,,61 280 km,,,31 g/km,,11/2020,,,,,Euro 6d,Petrol,4x2,,,Sedans / saloons,BMW,Other interior color,,bmw 330,EUR,,1 998 ccm,not published by the seller,61185352,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system,Metallic,40449,1.4 l/100km (combined),,Alcantara interior,Black,1,5,,
1145,53 kW,,,Manual,4/5 doors,Aygo,Used,,7 065 km,,,111 g/km,,1/2022,,,,,Euro 6d-TEMP,Petrol,4x2,,,Hatchback,Toyota,Other interior color,,toyota aygo,EUR,830,998 ccm,not published by the seller,61185346,Apple CarPlay; Android auto; Voice control; Bluetooth; Automatic A/C; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,Metallic,17949,3.8 l/100km (combined); 3.8 l/100km (city); 3.8 l/100km ,,Cloth interior,Grey,,4,,
1146,110 kW,,,Automatic,4/5 doors,Passat,,,92 400 km,,,113 g/km,,11/2020,,,,,Euro 6d,Diesel,4x2,,,Station Wagon,Volkswagen,Black interior,,volkswagen passat,EUR,,1 968 ccm,not published by the seller,61185353,Driver's seat with massage function; LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Panoramic roof; Voice control; Navigation system,,27749,5 l/100km (combined); 4.9 l/100km (city); 3.5 l/100km ,,Cloth interior,Blue,1,,,
1147,103 kW,,,Automatic,4/5 doors,i30,,,80 000 km,,,123 g/km,,4/2020,,,,,Euro 6d-TEMP,Petrol,4x2,,,Station Wagon,Hyundai,Black interior,,hyundai i30,EUR,,1 353 ccm,not published by the seller,61185342,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,,18499,5.4 l/100km (combined); 6.4 l/100km (city); 5 l/100km ,,Cloth interior,White,1,5,,
1148,62 kW,,,Manual,4/5 doors,i10,New,,7 km,,,105 g/km,,9/2023,,,,,Euro 6d,Petrol,4x2,,,Hatchback,Hyundai,Black interior,,hyundai i10,EUR,,1 197 ccm,not published by the seller,61185340,Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Bluetooth; Automatic A/C; High beam assist; Light sensor,Metallic,21149,4.6 l/100km (combined); 5.5 l/100km (city); 4.5 l/100km ,,Cloth interior,Grey,,5,,
1149,195 kW,,,Automatic,4/5 doors,X5,Used,,45 306 km,,,155 g/km,,6/2019,,,,,Euro 6,Diesel,4x4,,,SUV / offroad,BMW,Black interior,,bmw x5,EUR,,2 993 ccm,not published by the seller,61185351,Heated front seats; Panoramic roof,,65699,5.8 l/100km (combined),,,White,,5,12/2024,
1150,110 kW,,,Automatic,4/5 doors,A3,Used,,16 953 km,,,104 g/km,,12/2022,,,,,Euro 6,Diesel,4x2,,,Hatchback,Audi,,,audi a3,EUR,,1 968 ccm,not published by the seller,61185347,Digital cockpit; Electric adjustable front seats; Heated front seats; Sport front seats; Bluetooth; Rear parking camera; Automatic A/C; Rain sensor; Autom. dimming side mirros; Multifunctional steering wheel,,41649,4.7 l/100km (combined),,,Blue,1,5,12/2026,
1151,96 kW,,,Automatic,4/5 doors,Partner,Used,,126 000 km,,,120 g/km,,6/2020,,,Belgium,,Euro 6d,Diesel,4x2,,,Cargo VAN,Peugeot,Black interior,,peugeot partner,EUR,1505,1 499 ccm,not published by the seller,61185354,Apple CarPlay; Navigation system; Traffic sign recognition; Bluetooth; Light sensor; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; Start-stop system,,17099,4.5 l/100km (combined),,Cloth interior,White,,3,,
1152,53 kW,,,Manual,2/3 doors,C1,Used,,16 095 km,,,93 g/km,,3/2021,,,,,Euro 6d-TEMP,Petrol,4x2,,,Hatchback,Citroen,Other interior color,,citroen c1,EUR,965,998 ccm,not published by the seller,61185356,Head-up display; Smartphone mirroring; Hill-start assist; Side mirrors with electic adjustment; Leather steering wheel; On-board computer; Front electric windows; Alloy wheels,,13199,4.1 l/100km (combined),,Cloth interior,White,,4,,
1153,81 kW,,,Automatic,4/5 doors,Scala,Used,,11 563 km,,,108 g/km,,12/2022,,,,,Euro 6,Petrol,4x2,,,Hatchback,Skoda,,,skoda scala,EUR,,999 ccm,not published by the seller,61185337,Automatic multi-zone A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Parking sensors; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment,,25149,4.7 l/100km (combined),,,Black,1,5,,
1154,165 kW,,,Automatic,4/5 doors,C5 Aircross,New,,0 km,,,100 g/km,,9/2023,,,,,Euro 6d-TEMP,Hybrid,4x2,,,SUV / offroad,Citroen,Other interior color,,citroen c5-aircross,EUR,,1 599 ccm,not published by the seller,61185348,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control,Metallic,45749,3.8 l/100km (combined),,Alcantara interior,Grey,,5,,
1155,80 kW,,,Manual,4/5 doors,Duster,Used,,67 500 km,,,127 g/km,,1/2014,,,,,Euro 5,Diesel,4x2,,,SUV / offroad,Dacia,Black interior,,dacia duster,EUR,,1 461 ccm,not published by the seller,61185345,Navigation system; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; On-board computer; Front electric windows; Rear electric windows,,14399,4.4 l/100km (combined); 4.5 l/100km (city); 4.3 l/100km ,,,Black,,5,08/2024,
1156,135 kW,Full hybrid,No,Automatic,4/5 doors,C-HR,,,1 500 km,08/2025,1 kWh,92 g/km,80 kW,8/2022,,Nickel-metal hydride (NiMH),,,Euro 6d,Hybrid,4x2,,,SUV / offroad,Toyota,Black interior,112 kW,toyota c-hr,EUR,,1 987 ccm,not published by the seller,61185349,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition,Metallic,30349,4 l/100km (combined),,Cloth interior,Red,2,5,,
1157,110 kW,,,Automatic,4/5 doors,Golf,,,167 520 km,,,116 g/km,,12/2019,,,,,Euro 6d,Petrol,4x2,,,Station Wagon,Volkswagen,Black interior,,volkswagen golf,EUR,,1 498 ccm,not published by the seller,61185355,Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Paddle shifters; Traffic sign recognition,,16349,5.1 l/100km (combined); 6.5 l/100km (city); 4.3 l/100km ,,Cloth interior,Grey,1,5,,
1158,96 kW,,,Manual,4/5 doors,308,Used,,123 600 km,,,105 g/km,,1/2019,,,,,,Diesel,4x2,,,Station Wagon,Peugeot,,,peugeot 308,EUR,,1 499 ccm,VF3LCYHZPKS500534,61185343,Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Automatic lights; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,,12349,4.6 l/100km (combined),,,Black,,5,,
1159,100 kW,,,Automatic,4/5 doors,GLA 200,Used,,89 769 km,,,141 g/km,,10/2018,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Mercedes-Benz,Black interior,,mercedes-benz gla-200,EUR,,2 143 ccm,not published by the seller,61185325,Panoramic roof; CD player,,27849,5.2 l/100km (combined); 6.3 l/100km (city); 4.6 l/100km ,,,Black,,5,12/2025,
1160,132 kW,,,Automatic,4/5 doors,4,Used,,16 104 km,,,147 g/km,,5/2022,,,,,Euro 6,Petrol,4x2,,,Hatchback,DS Automobiles,,,ds-automobiles 4,EUR,,1 598 ccm,not published by the seller,61185319,,,35649,6.2 l/100km (combined),,,Grey,,5,,
1161,96 kW,,,Manual,4/5 doors,308,Used,,59 013 km,,,102 g/km,,3/2019,,,Spain,,No emission class,Petrol,4x2,,,Hatchback,Peugeot,Other interior color,,peugeot 308,EUR,1165,1 199 ccm,not published by the seller,61185316,Bluetooth; Automatic A/C; High beam assist; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; USB; Front electric windows; Alloy wheels,,14799,4.5 l/100km (combined); 4.2 l/100km (city); 4.2 l/100km ,,Other interior material,Grey,,5,,
1162,100 kW,,,Automatic,4/5 doors,A 180,Used,,110 228 km,,,122 g/km,,7/2019,,,,,Euro 6,Petrol,4x2,,,Hatchback,Mercedes-Benz,Black interior,,mercedes-benz a-180,EUR,1265,1 332 ccm,not published by the seller,61185333,Parking assist system self-steering; LED headlights; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control; Navigation system; Traffic sign recognition,Metallic,26249,5.3 l/100km (combined),,Part leather interior,Black,,5,,
1163,338 kW,,,Manual,2/3 doors,Mustang,,,10 km,06/2025,,311 g/km,,6/2023,,,,,Euro 6,Petrol,4x2,,,Coupe,Ford,Black interior,,ford mustang,EUR,,5 038 ccm,not published by the seller,61185328,Ventilated front seats; LED headlights; Keyless entry; Electric adjustable front seats; Bang & Olufsen audio; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,,71699,13.6 l/100km (combined); 20.3 l/100km (city); 9.7 l/100km ,,Full leather interior,Red,1,4,,
1164,154 kW,,,Automatic,4/5 doors,Stelvio,Used,,126 806 km,,,127 g/km,,5/2017,,,,,Euro 6,Diesel,4x4,,,SUV / offroad,Alfa Romeo,,,alfa-romeo stelvio,EUR,,2 143 ccm,not published by the seller,61185315,Adaptive cruise control; Panoramic roof,,26199,4.8 l/100km (combined); 5.5 l/100km (city); 4.4 l/100km ,,,White,,5,12/2024,
1165,211 kW,,,Automatic,4/5 doors,Grand Caravan,,,79 000 km,05/2025,,247 g/km,,1/2017,,,,,Euro 6,Petrol,4x2,,,MPV,Dodge,Black interior,,dodge grand-caravan,EUR,,3 605 ccm,not published by the seller,61185317,Keyless entry; Electric adjustable front seats; Keyless ignition; Voice control; El. tailgate; Paddle shifters; Bluetooth; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment,,32099,9.3 l/100km (combined); 12.8 l/100km (city); 7.3 l/100km ,,Part leather interior,White,1,7,,
1166,100 kW,,,Automatic,4/5 doors,GLA 200,Used,,89 769 km,,,141 g/km,,10/2018,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Mercedes-Benz,Black interior,,mercedes-benz gla-200,EUR,,2 143 ccm,not published by the seller,61185325,Panoramic roof; CD player,,27849,5.2 l/100km (combined); 6.3 l/100km (city); 4.6 l/100km ,,,Black,,5,12/2025,
1167,92 kW,,,Automatic,4/5 doors,Puma,New,,1 km,,,113 g/km,,1/2023,,,,,,Petrol,4x2,,,SUV / offroad,Ford,,,ford puma,EUR,,999 ccm,not published by the seller,61185324,LED headlights; Keyless entry; Bang & Olufsen audio; Heated front seats; Internet connection; Keyless ignition; Navigation system; Heated steering wheel; Paddle shifters; Sport front seats,,28199,6.1 l/100km (combined),,Part leather interior,Blue,,5,,
1168,110 kW,,,Automatic,4/5 doors,A3,Used,,17 538 km,,,104 g/km,,7/2022,,,,,Euro 6,Diesel,4x2,,,Hatchback,Audi,Black interior,,audi a3,EUR,,1 968 ccm,not published by the seller,61185331,Digital cockpit; Sport front seats; Bluetooth; Rear parking camera; Automatic lights; High beam assist; Autom. dimming side mirros,Metallic,39799,4.7 l/100km (combined),,,Blue,1,5,12/2024,
1169,104 kW,,No,Automatic,4/5 doors,Niro,Used,150000 km,88 896 km,,9 kWh,86 g/km,,8/2016,,Lithium polymer (Li-pol),,,Euro 6,Hybrid,4x2,2 h,,SUV / offroad,Kia,,,kia niro,EUR,,1 580 ccm,not published by the seller,61185336,Keyless ignition; Automatic multi-zone A/C; Navigation system; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment,,17549,3.7 l/100km (combined),,,White,1,5,,58 km
1170,53 kW,,,Manual,2/3 doors,108,Used,,30 479 km,,,85 g/km,,7/2019,,,,,Euro 6,Petrol,4x2,,,Hatchback,Peugeot,,,peugeot 108,EUR,,998 ccm,not published by the seller,61185335,Hill-start assist; Daytime running lights; On-board computer; Start-stop system; Front electric windows,,10399,3.6 l/100km (combined),,,Red,1,4,12/2024,
1171,146 kW,,,Automatic,4/5 doors,Kona,Used,,12 750 km,,,124 g/km,,3/2023,,,,,Euro 6d,Petrol,4x2,,,SUV / offroad,Hyundai,Black interior,,hyundai kona,EUR,,1 600 ccm,not published by the seller,61185311,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,Metallic,28749,5.4 l/100km (combined),,Cloth interior,Grey,1,5,,
1172,143 kW,,,Automatic,4/5 doors,6,,,99 km,,,156 g/km,,12/2023,,,,,Euro 6c,Petrol,4x2,,,Station Wagon,Mazda,Brown interior,,mazda 6,EUR,,2 488 ccm,not published by the seller,61185313,LED headlights; Bose audio; Heated front seats; Head-up display; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Rear cross traffic alert (RCTA); Paddle shifters,Metallic,50049,6.8 l/100km (combined); 8.9 l/100km (city); 5.6 l/100km ,,Full leather interior,Red,1,5,,
1173,106 kW,,,Automatic,4/5 doors,Arkana,,,10 km,,,107 g/km,,8/2023,,,,,Euro 6d,Hybrid,4x2,,,SUV / offroad,Renault,Black interior,,renault arkana,EUR,,1 598 ccm,not published by the seller,61185312,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Apple CarPlay; Android auto,Metallic,34049,4.8 l/100km (combined); 4.6 l/100km (city); 3.5 l/100km ,,Alcantara interior,Blue,,5,,
1174,100 kW,,,Manual,4/5 doors,Sportage,Used,,113 552 km,,,131 g/km,,3/2020,,,,,Euro 6,Diesel,4x4,,,SUV / offroad,Kia,,,kia sportage,EUR,,1 598 ccm,not published by the seller,61185306,Automatic multi-zone A/C; Panoramic roof; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Hill-start assist,,17899,5 l/100km (combined); 5.4 l/100km (city); 4.6 l/100km ,,,Grey,1,5,,
1175,88 kW,,,Manual,4/5 doors,V40 Cross Country,,,123 500 km,,,122 g/km,,9/2017,,,,,Euro 6,Diesel,4x2,,,Hatchback,Volvo,Other interior color,,volvo v40-cross-country,EUR,,1 969 ccm,not published by the seller,61185310,LED headlights; Heated front seats; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel,Metallic,17199,4.6 l/100km (combined); 5.7 l/100km (city); 4 l/100km ,,Other interior material,Black,2,5,,
1176,67 kW,,,Manual,4/5 doors,Captur,Used,,35 364 km,,,121 g/km,,8/2021,,,,,Euro 6d,Petrol,4x2,,,SUV / offroad,Renault,Grey interior,,renault captur,EUR,1257,999 ccm,not published by the seller,61185308,Parking assist system self-steering; LED headlights; Keyless entry; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C,,17949,5.9 l/100km (combined),,Part leather interior,Black,,5,,
1177,48 kW,,,Manual,2/3 doors,Twingo,Used,,20 935 km,,,117 g/km,,2/2022,,,,,Euro 6,Petrol,4x2,,,Hatchback,Renault,,,renault twingo,EUR,,999 ccm,not published by the seller,61185309,Bluetooth; Automatic lights; Rain sensor; Hill-start assist; Multifunctional steering wheel; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows,Metallic,12199,4.9 l/100km (combined),,,Black,,4,,
1178,49 kW,,,Automatic,,Picanto,,,18 790 km,,,101 g/km,,1/2021,,,,,Euro 6,Petrol,4x2,,,Hatchback,Kia,,,kia picanto,EUR,,998 ccm,not published by the seller,61185303,Heated front seats; Heated steering wheel; Bluetooth; Rear parking camera; Hill-start assist; Multifunctional steering wheel; On-board computer; Front electric windows,,14449,5.5 l/100km (combined),,,Blue,,,,
1179,96 kW,,,Automatic,4/5 doors,Mokka,New,,50 km,,,111 g/km,,9/2023,,,,,No emission class,Petrol,4x2,,,SUV / offroad,Opel,Black interior,,opel mokka,EUR,,1 199 ccm,not published by the seller,61185304,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Automatic A/C; Rain sensor; Lane assist; Front collision warning system,Metallic,29099,4.9 l/100km (combined),,Cloth interior,Blue,,5,,
1180,146 kW,,,Automatic,4/5 doors,XC60,,,29 270 km,,,147 g/km,,8/2021,,,,,,Diesel,4x4,,,SUV / offroad,Volvo,,,volvo xc60,EUR,,1 969 ccm,not published by the seller,61185326,Heated rear seats; Keyless entry; Keyless ignition; Voice control; Heated steering wheel; El. tailgate; Traffic sign recognition; Automatic 2-zones air conditioning; Automatic lights; Rain sensor,,36699,5.8 l/100km (combined),,,Grey,,,,
1181,90 kW,,,Automatic,4/5 doors,B 180,,,42 000 km,,,137 g/km,,4/2012,,,,,Euro 5,Petrol,4x2,,,MPV,Mercedes-Benz,Black interior,,mercedes-benz b-180,EUR,,1 595 ccm,not published by the seller,61185318,Heated front seats; Panoramic roof; Voice control; Navigation system; Paddle shifters; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Parking sensors,Metallic,17949,5.9 l/100km (combined); 8.3 l/100km (city); 5 l/100km ,,Cloth interior,Silver,1,5,,
1182,53 kW,,,Manual,2/3 doors,108,Used,,30 479 km,,,85 g/km,,7/2019,,,,,Euro 6,Petrol,4x2,,,Hatchback,Peugeot,,,peugeot 108,EUR,,998 ccm,not published by the seller,61185335,Hill-start assist; Daytime running lights; On-board computer; Start-stop system; Front electric windows,,10399,3.6 l/100km (combined),,,Red,1,4,12/2024,
1183,75 kW,,,Manual,2/3 doors,ONE,Used,,37 376 km,,,122 g/km,,3/2020,,,,,Euro 6,Petrol,4x2,,,Hatchback,MINI,Black interior,,mini one,EUR,1170,1 499 ccm,not published by the seller,61185322,LED headlights; Digital cockpit; Keyless entry; Keyless ignition; Navigation system; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel,Metallic,21049,5.5 l/100km (combined); 5 l/100km (city); 5 l/100km ,,Cloth interior,Grey,,5,,
1184,140 kW,,,Automatic,4/5 doors,A4,,,46 940 km,,,135 g/km,,9/2020,,,,,Euro 6d-TEMP,Petrol,4x2,,,Station Wagon,Audi,Black interior,,audi a4,EUR,,1 984 ccm,not published by the seller,61185330,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Navigation system; Paddle shifters; Bluetooth; Automatic A/C; Rain sensor; Light sensor,,30899,5.9 l/100km (combined); 7.6 l/100km (city); 5.2 l/100km ,,Cloth interior,Black,1,5,,
1185,300 kW,,No,Automatic,4/5 doors,EQC,,160000 km,30 786 km,,80 kWh,0 g/km,,3/2022,,Lithium-ion (Li-ion),,40 min,Euro 6d-TEMP,Electric,4x4,,,SUV / offroad,Mercedes-Benz,Black interior,,mercedes-benz eqc,EUR,,,not published by the seller,61185334,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; Glare-free high beam headlights; El. tailgate; Paddle shifters,Metallic,52699,0 kWh/100km (combined),,Part leather interior,Blue,1,5,,
1186,195 kW,,,Automatic,4/5 doors,A6,Used,,18 928 km,,,157 g/km,,1/2023,,,,,,Petrol,4x4,,,Sedans / saloons,Audi,,,audi a6,EUR,,1 984 ccm,WAUZZZF23PN061945,61185327,Digital cockpit; Electric adjustable front seats; Bang & Olufsen audio; Traffic sign recognition; Bluetooth; Automatic A/C; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Ambient lighting,,63949,6.8 l/100km (combined),,,White,,5,,
1187,96 kW,,,Manual,4/5 doors,308,Used,,59 013 km,,,102 g/km,,3/2019,,,Spain,,No emission class,Petrol,4x2,,,Hatchback,Peugeot,Other interior color,,peugeot 308,EUR,1165,1 199 ccm,not published by the seller,61185316,Bluetooth; Automatic A/C; High beam assist; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; USB; Front electric windows; Alloy wheels,,14799,4.5 l/100km (combined); 4.2 l/100km (city); 4.2 l/100km ,,Other interior material,Grey,,5,,
